Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1,19872,0.14546618698414296,5.678120858752452,0.7405937979752077,27.642769420831222,3.0041,37.211050264543026,-93.34988833305712
1939,12,0.07302139331609193,5.422154823708169,0.7133801110667124,27.605974986907576,3.0041,36.81863131499855,-94.85562056650632
1940,12,0.10828713887006813,5.202865543614263,0.6788825393188336,27.559985992997362,3.0041,36.554121214800524,-95.76491404401023
1941,12,0.12662012235038353,4.9935979258906595,0.6507365157224589,27.49939668177539,3.0041,36.274451245738895,-96.8792075803745
1942,12,0.07739391551869046,4.854879139049615,0.6381051974881565,27.459048785516256,3.0041,36.03352703757272,-97.8013569860845
1943,12,0.12731393247870837,4.639780277992027,0.6066830209837007,27.38092730849934,3.0041,35.75880453995378,-98.82145132508523
1944,12,0.12157808651423732,4.594136225579141,0.6035677198666226,27.33564532060511,3.0041,35.65902735256511,-99.4162794717387
1945,12,0.08767352752087322,4.420150238467668,0.5836283071858644,27.282184201769017,3.0041,35.37773627494342,-100.58137238362175
1946,12,0.12119808159591819,4.108124051896816,0.5423962269855012,27.153201130207087,3.0041,34.92901949068532,-102.39400490327067
1947,12,0.14471322995263575,4.137523080037496,0.5458049541503193,27.11379984127564,3.0041,34.94594110541609,-102.96934476718688
1948,12,0.13648379792289553,3.8836110486288082,0.5175480852694707,26.967220088354154,3.0041,34.50896302017533,-104.74733083608268
1949,12,0.15033654969216168,4.168172250518967,0.5584152789425364,26.95238075774786,3.0041,34.83340483690152,-104.85637897571875
1950,12,0.37522969119192173,4.519046910027213,0.5864448856947985,26.917254203846547,3.0041,35.40207569076048,-103.99250480237853
1951,12,0.11189619420474536,4.245875872825946,0.5730818643003401,26.838404162829303,3.0041,34.773358094160336,-105.55231304726298
1952,12,0.07014466739180363,4.052664583145586,0.5508620805519725,26.74842050726456,3.0041,34.42619183835392,-106.54185146241835
1953,12,0.09854078533842278,4.048763749796125,0.5482946974380609,26.68731423358594,3.0041,34.38701346615855,-106.86599571026079
1954,12,0.05544649073324658,4.261295480637299,0.5846420651242464,26.67209538111562,3.0041,34.577579417610416,-106.55940048259194
1955,12,0.4735120432155318,5.076206780142795,0.6551968573043402,26.7310879743407,3.0041,35.94010365500337,-102.70760004580714
1956,12,0.9837572844355543,5.4250466685164485,0.6499271903896061,26.7026139414942,3.0041,36.76544508483581,-98.87676560694092
1957,12,0.04963943341133705,5.188885358527317,0.7039128817989854,26.757530682352133,3.0041,35.70406835608977,-99.64919925824222
1958,12,0.12380907366723765,4.855902093147128,0.6473117329279614,26.671036370453802,3.0041,35.30215927019613,-97.41153380333722
1959,12,0.15879756973911452,5.0932443946744534,0.6762824743959345,26.68766788459566,3.0041,35.62009232340516,-89.37110123129754
1960,12,0.3000408633684748,5.4785045877621865,0.7134806091539525,26.724141345935966,3.0041,36.22026740622058,-80.97222504156076
1961,12,1.2468113900563969,5.7401206633370725,0.6551720949613152,26.647951821521172,3.0041,37.29415596987596,-65.70748338011967
1962,12,0.08194312071513686,5.645055457260123,0.7530737887121286,26.76814531835666,3.0041,36.25231768504405,-66.88145965911019
1963,12,0.08568261393471799,5.2597377629912785,0.6965221067824612,26.706266098518267,3.0041,35.752308582226725,-56.65571332896613
1964,12,0.25617748315315214,5.539546488779834,0.7175705068255497,26.728089876989426,3.0041,36.24548435574796,-27.726660798711666
1965,12,0.5043874495509402,6.31722837460955,0.799245453247662,26.83253994865452,3.0041,37.457501226062675,10.379495841325692
1966,12,1.009453684592974,6.136864345828596,0.7210826630411641,26.767373015740393,3.0041,37.63887370920313,30.191274829030945
1967,12,0.10259955846995314,5.885059767581335,0.7719515766407911,26.848278689925436,3.0041,36.61198959261752,20.84738389408214
1968,12,0.1106366136946497,5.5360115960955145,0.7229737239069625,26.800679151765245,3.0041,36.17440108546237,20.338302235972215
1969,12,0.4614039470418537,5.912528888240831,0.7401563507192599,26.82400060914454,3.0041,36.94218979514648,33.75797610942821
1970,12,0.6299491674171628,6.526191977230242,0.8070625957151547,26.913648035234647,3.0041,37.88095177559721,46.418714900072544
1971,12,0.14309992807114036,6.378400598934567,0.8310318025110282,26.977833402775516,3.0041,37.33446573229225,41.558888805549145
1972,12,0.5533315746045112,6.855128400439542,0.8544671490778235,27.029604456634715,3.0041,38.29663158075659,52.60064649442753
1973,12,0.2887953890155088,6.556131570167057,0.8344362307456603,27.0551131472807,3.0041,37.738576337208926,47.277713833224546
1974,12,0.05781545081239249,6.234056816388894,0.8121234879452364,27.073963129544527,3.0041,37.18205888469105,42.00565773470433
1975,12,0.3593758784645054,6.520125466548938,0.8218363062556048,27.112223303953545,3.0041,37.81766095522259,48.284052076447146
1976,12,0.08439116268853997,6.533400830582641,0.8518045546708807,27.18460423321041,3.0041,37.65830078115248,46.42307123183542
1977,12,0.035195699688977004,5.981970077366377,0.7798410872236509,27.141989742745633,3.0041,36.943096607024636,39.4093913637068
1978,12,0.3490639465424388,6.10740165909109,0.7665398161496717,27.13878679941911,3.0041,37.36589222120231,41.66149397814456
1979,12,0.11469436916935133,6.048959269760961,0.7819446646115553,27.175004759387324,3.0041,37.12470306292919,38.38290233619435
1980,12,0.12423964419925301,5.935559949031097,0.7690892632245336,27.173609450341612,3.0041,37.0065983067965,35.62805813913705
1981,12,0.14107140077462887,6.219353562393853,0.8103267625878747,27.237335678915212,3.0041,37.41218740467157,36.27379003484044
